flashcard_index,flashcard_question,flashcard_answer,flashcard_keyword,flashcard_topic
5,What are the two possible states of the plasma membrane during cell death?,It can be disrupted or intact,"['Cell Death', 'Plasma Membrane']",Plasma Membrane in Cell Death
6,What happens to the cellular contents during enzymatic digestion?,They undergo enzymatic digestion,"['Cell Death', 'Cellular Contents']",Cellular Contents in Cell Death
7,Is inflammation a frequent occurrence during cell death?,Yes,"['Cell Death', 'Inflammation']",Inflammation in Cell Death
8,What are the two possible roles of cell death?,It can be pathologic or physiologic,"['Cell Death', 'Role']",Role of Cell Death
9,Is inflammation a frequent occurrence during cell death?,No,"['Cell Death', 'Inflammation']",Frequency of Inflammation in Cell Death
10,How many types of cell death are there?,There are two main types: Necrosis and Apoptosis,['Cell Death'],Number of Types of Cell Death
1,What happens to cells during severe injury?,"The cells undergo denaturation of proteins, leakage of cellular contents, local inflammation, and enzymatic digestion.","['severe injury', 'cells']",Consequence of Severe Injury
2,What are the characteristics of a necrotic cell?,"A necrotic cell is characterized by increased eosinophilia, karyolysis, pyknosis, and karyorrhexis.","['necrotic cell', 'characteristics']",Necrotic Cell
3,What are the possible fates of a necrotic cell?,A necrotic cell may persist for some time or be digested.,"['necrotic cell', 'fates']",Fates of Necrotic Cells
4,What are the morphologically distinct patterns of tissue necrosis?,The patterns of tissue necrosis are based on underlying causes.,"['tissue necrosis', 'patterns']",Patterns of Tissue Necrosis
5,What is necrosis?,Necrosis is a type of tissue death.,['necrosis'],Necrosis
1,What is the most common type of necrosis?,Coagulative Necrosis,"['necrosis', 'coagulative']",Coagulative Necrosis
2,What pattern occurs during coagulative necrosis?,Denaturation is the primary pattern.,"['necrosis', 'coagulative', 'denaturation']",Coagulative Necrosis
3,How long does the preservation of basic structural outline last in coagulative necrosis?,For days or weeks.,"['necrosis', 'coagulative', 'preservation']",Coagulative Necrosis
4,What causes ischemia and coagulative necrosis in all organ except the brain?,Obstruction in a vessel.,"['necrosis', 'coagulative', 'ischemia']",Coagulative Necrosis
5,What is a localized area of coagulative necrosis called?,An infarct.,"['necrosis', 'coagulative', 'infarct']",Coagulative Necrosis
6,What is a kidney infarct?,A localized area of coagulative necrosis in the kidney.,"['kidney', 'infarct']",Kidney Infarct
1,What is the dominant process in Liquefactive Necrosis?,Digestion by enzymes,"['Liquefactive Necrosis', 'Digestion']",Liquefactive Necrosis
2,What are the characteristic infections of Liquefactive Necrosis?,Focal bacterial or fungal infections,"['Liquefactive Necrosis', 'Infections']",Liquefactive Necrosis
3,What happens during Hypoxic death in the brain?,Brain infarct occurs,"['Liquefactive Necrosis', 'Hypoxic death', 'Brain infarct']",Liquefactive Necrosis
4,What is the dominant process in Digestion during Liquefactive Necrosis?,Enzyme digestion,"['Digestion', 'Enzymes']",Digestion in Liquefactive Necrosis
5,What types of infections are characteristic of Liquefactive Necrosis?,Focal bacterial or fungal infections,"['Infections', 'Bacterial', 'Fungal']",Infections in Liquefactive Necrosis
6,What happens during Hypoxic death in the brain that leads to a Brain Infarct?,Hypoxic death causes Brain infarct,"['Hypoxic death', 'Brain infarct']",Hypoxic death and Brain Infarct
1,What is Gangrenous Necrosis?,A type of tissue death (necrosis) that can result from a lack of blood supply or bacterial infection.,"['Gangrenous Necrosis', 'tissue death']",Gangrenous Necrosis
2,What are the two types of Gangrenous Necrosis?,Ischemic coagulative necrosis and Wet gangrene.,"['Gangrenous Necrosis', 'types']",Types of Gangrenous Necrosis
3,What is Ischemic Coagulative Necrosis?,A type of gangrenous necrosis that results from a lack of blood supply.,['Ischemic Coagulative Necrosis'],Ischemic Coagulative Necrosis
4,What is Wet Gangrene?,A type of gangrenous necrosis that results from a bacterial infection.,['Wet Gangrene'],Wet Gangrene
5,Where is Gangrenous Necrosis commonly found?,It is frequently of a limb and especially common in diabetes.,"['Gangrenous Necrosis', 'common locations']",Common Locations
1,What is caseous necrosis?,A special form of coagulative necrosis with limited liquefaction.,"['coagulative necrosis', 'limited liquefaction']",Caseous Necrosis
2,Where is caseous necrosis most often encountered?,Most often in foci of tuberculous infection.,['tuberculous infection'],Caseous Necrosis
3,What is the appearance of caseous necrosis?,"Cheesy, white and gross with a structureless amorphous granular debris.","['cheesy', 'white', 'gross appearance']",Caseous Necrosis
4,What is a granuloma?,An inflammatory border enclosed within a distinctive structure.,['inflammatory border'],Granuloma
5,What happens to the tissue architecture in tuberculosis of lung?,It is completely obliterated.,['tissue architecture'],Tuberculosis of Lung
1,What causes fat necrosis?,It is typically caused by the release of activated pancreatic lipases due to acute pancreatitis.,"['Fat Necrosis', 'Acute Pancreatitis', 'Pancreatic Lipases']",Fat Necrosis
2,What are the focal areas of fat destruction in Fat Necrosis?,The input text does not provide specific information about the focal areas of fat destruction in Fat Necrosis.,['Fat Necrosis'],Fat Necrosis
3,What happens to fat when it is degraded in Fat Necrosis?,It degrades into glycerol and free fatty acids.,"['Fat Necrosis', 'Glycerol', 'Free Fatty Acids']",Fat Necrosis
4,What happens to free fatty acids in Fat Necrosis?,"They bind to calcium, a process known as fat saponification.","['Fat Necrosis', 'Free Fatty Acids', 'Calcium']",Fat Necrosis
0,What is Fibrinoid Necrosis?,Fibrinoid Necrosis is a condition usually seen in immune reactions involving blood vessels.,"['Fibrinoid Necrosis', 'immune reactions', 'blood vessels']",Fibrinoid Necrosis
1,What type of condition is Fibrinoid Necrosis?,Fibrinoid Necrosis is a condition.,['condition'],Condition
2,In what context is Fibrinoid Necrosis typically seen?,Fibrinoid Necrosis is typically seen in immune reactions.,['immune reactions'],Immune Reactions
3,Which part of the body are Fibrinoid Necrosis reactions most commonly associated with?,Fibrinoid Necrosis reactions are most commonly associated with blood vessels.,['blood vessels'],Blood Vessels
4,What term is used to describe the tissue death involved in Fibrinoid Necrosis?,Necrosis is the term used to describe the tissue death involved in Fibrinoid Necrosis.,['necrosis'],Necrosis
5,What type of reactions are associated with Fibrinoid Necrosis?,Fibrinoid Necrosis is associated with immune reactions.,['reactions'],Reactions
1,What is the process by which cells activate enzymes that degrade their own nuclear DNA and proteins called?,Apoptosis,"['Apoptosis', 'cell death', 'nuclear DNA', 'enzymes']",Apoptosis
2,Which part of the cell contains the nuclear DNA that is degraded during apoptosis?,Nucleus,"['Apoptosis', 'nuclear DNA', 'nucleus']",Apoptosis
3,What type of proteins are degraded during apoptosis in the cytoplasm?,Cytoplasmic proteins,"['Apoptosis', 'cytoplasmic proteins']",Apoptosis
1,What triggers apoptosis during embryogenesis?,Loss of growth factor signaling,"apoptosis, embryogenesis, growth factor signaling",Mechanisms of Apoptosis
2,What leads to the involution of hormone-dependent tissues?,Decreased hormone levels,"apoptosis, hormone-dependent tissues, hormone levels",Mechanisms of Apoptosis
3,What happens to leukocyte numbers during apoptosis?,A decline occurs at the end of immune and inflammatory responses,"apoptosis, leukocytes, immune responses",Mechanisms of Apoptosis
4,What causes apoptosis in response to DNA damage?,Activation of proapoptotic proteins by BH3-only sensors,"apoptosis, DNA damage, proapoptotic proteins",Mechanisms of Apoptosis
5,What triggers apoptosis in response to viral infections?,Activation of the mitochondrial pathway by viral proteins,"apoptosis, viral infections, mitochondrial pathway",Mechanisms of Apoptosis
6,What role do cytotoxic T lymphocytes play in apoptosis?,They kill infected cells and activate caspases,"apoptosis, cytotoxic T lymphocytes, caspases",Mechanisms of Apoptosis
7,What are the three main causes of apoptosis?,"1. Loss of growth factor signaling, 2. DNA damage, and 3. Viral infections","apoptosis, causes",Causes of Apoptosis
1,What are the three main morphological changes that occur during apoptosis at the HE level?,"Cell shrinkage, chromatin condensation, and karyorrhexis.",,Morphology of Apoptosis (HE level)
2,What happens to the DNA during apoptosis at the molecular level?,The DNA fragments.,,Morphology of Apoptosis (Molecular level)
3,What are cytoplasmic buds called during apoptosis?,They are called apoptotic bodies.,,Morphology of Apoptosis (Molecular level)
4,What happens to the apoptotic bodies during apoptosis?,They are phagocytosed.,,Morphology of Apoptosis (Molecular level)
5,Which process occurs during apoptosis where the chromatin condenses?,Chromatin condensation.,,Morphology of Apoptosis (HE level)
6,What is the final stage of apoptosis at the HE level?,Karyorrhexis.,,Morphology of Apoptosis (HE level)
1,What are the morphological similarities between necrosis and necroptosis?,Necroptosis resembles necrosis morphologically.,"necrosis, necroptosis",Necroptosis
2,How is necroptosis mechanistically similar to apoptosis?,Necroptosis resembles apoptosis mechanistically.,"necrosis, apoptosis, necroptosis",Necroptosis
3,What triggers necroptosis?,Necroptosis is triggered by ligation of TNFR1 and viral proteins of RNA and DNA viruses.,"necrosis, TNFR1, viruses",Necroptosis
4,How is necroptosis dependent on signaling by the RIPK1 and RIPK3 complex?,Necroptosis is caspase-independent but dependent on signaling by the RIPK1 and RIPK3 complex.,"necrosis, RIPK1, RIPK3",Necroptosis
5,In what conditions does necroptosis occur?,Necroptosis occurs in both physiologic and pathologic conditions.,"necrosis, physiologic, pathologic",Necroptosis
6,What is Ferroptosis?,Ferroptosis is a type of programmed cell death.,Ferroptosis,Ferroptosis
7,What are the three main mechanisms of cell death?,"Necroptosis, Ferroptosis, and Pyroptosis are the three main mechanisms of cell death.","cell death, necroptosis, ferroptosis, pyroptosis",Cell Death Mechanisms
1,What is Autophagy?,Autophagy is a survival mechanism where the cell's own components are digested by lysosomes.,"['Autophagy', 'survival mechanism', ""cell's components"", 'lysosomes']",Autophagy
2,What triggers Autophagy?,Autophagy is initiated by proteins that sense nutrient deprivation.,"['Autophagy', 'nutrient deprivation', 'proteins']",Autophagy
3,What happens during Autophagy?,"A phagophore forms around the cell component to be digested, which then fuses with lysosomes to form an autophagolysosome.","['Autophagy', 'phagophore', 'autophagosome', 'lysosomes']",Autophagy
4,What are some diseases associated with Autophagy?,"Autophagy may play a role in cancer, neurodegenerative disorders, infectious disease, and inflammatory bowel disease.","['Autophagy', 'cancer', 'neurodegenerative disorders', 'diseases']",Autophagy
1,What factors influence the consequences of an injurious stimulus on a cell?,"The type of injury, its duration and severity, the type of cell, its metabolic state, adaptability, and genetic makeup all play a role.","['injury', 'consequences', 'cell', 'type', 'metabolic']",Cell Injury and Cell Death
2,What leads to cell injury?,Functional and biochemical abnormalities in one or more essential cellular components result from an injurious stimulus.,"['cell injury', 'abnormalities', 'essential']",Cell Injury
3,What causes cellular response to injurious stimuli?,The type and severity of the injury determine the cellular response.,"['cell injury', 'stimuli', 'response']",Cell Injury
1,What happens when blood flow is restored to ischemic but viable tissues?,The restoration of blood flow can result in increased cell injury.,"['ischemia', 'viable tissues', 'injury']",Ischemia-Reperfusion Injury
2,Why can the restoration of blood flow to ischemic tissues lead to new damage?,New damage may be initiated during reoxygenation by increased generation of ROS.,"['ischemia', 'reperfusion', 'new damage', 'ROS']",Ischemia-Reperfusion Injury
3,What is one mechanism of inflammation induced by ischemic injury?,The influx of leukocytes and plasma proteins.,"['ischemia', 'inflammation', 'leukocytes', 'plasma proteins']",Ischemia-Reperfusion Injury
4,What is another mechanism of inflammation induced by ischemic injury?,Activation of the complement system.,"['ischemia', 'inflammation', 'complement system']",Ischemia-Reperfusion Injury
5,Why can the inflammation induced by ischemic injury increase damage?,The influx of leukocytes and plasma proteins can cause further damage.,"['ischemia', 'inflammation', 'damage']",Ischemia-Reperfusion Injury
1,What is the result of cellular damage induced by the accumulation of ROS?,Cellular damage occurs when Reactive Oxygen Species (ROS) accumulate.,"['cellular damage', 'accumulation', 'ROS']",Cellular damage caused by ROS
2,What are the properties of free radicals?,Free radicals are extremely unstable and readily react with inorganic and organic compounds.,"['free radicals', 'unstable', 'react']",Properties of Free Radicals
3,What are Reactive Oxygen Species (ROS)?,Reactive oxygen species (ROS) are oxygen-derived free radicals.,"['ROS', 'oxygen-derived', 'free radical']",Definition of Reactive Oxygen Species (ROS)
4,"What is the generation, removal, and role of ROS in cell injury?","Reactive oxygen species (ROS) are generated during normal metabolic processes but can also be produced as a result of environmental stressors. They can cause damage to cells through oxidation reactions. Antioxidants help remove ROS from the body, preventing cell injury.","['generation', 'removal', 'role', 'ROS', 'cell injury']","Generation, Removal, and Role of ROS in Cell Injury"
1,What are the two general mechanisms of cell injury caused by toxins?,The two general mechanisms of cell injury caused by toxins are direct-acting and latent.,"['cell injury', 'toxins']",Cell Injury Caused by Toxins
2,What are direct-acting toxins?,Direct-acting toxins include anti-neoplastic chemotherapeutic agents and toxins made by microorganisms.,['direct-acting toxins'],Cell Injury Caused by Toxins
3,What are latent toxins?,Latent toxins include substances like Carbon tetrachloride (CCl 4 ) and acetaminophen.,['latent toxins'],Cell Injury Caused by Toxins
4,What are some examples of direct-acting toxins?,Some examples of direct-acting toxins include anti-neoplastic chemotherapeutic agents and toxins made by microorganisms.,"['direct-acting toxins', 'examples']",Cell Injury Caused by Toxins
5,What are some examples of latent toxins?,Some examples of latent toxins include Carbon tetrachloride (CCl 4 ) and acetaminophen.,"['latent toxins', 'examples']",Cell Injury Caused by Toxins
1,What can lead to cell death by apoptosis in a cell?,The accumulation of misfolded proteins in the ER can stress compensatory pathways and lead to cell death by apoptosis.,"['ER', 'apoptosis', 'cell death']",ER Stress and UPR
2,What causes ER stress?,ER stress is caused by abnormalities that increase the production of misfolded proteins or reduce the ability to eliminate them.,"['ER', 'misfolded proteins']",ER Stress and UPR
3,What can protein misfolding within cells lead to?,Protein misfolding within cells may cause diseases by creating a deficiency of an essential protein or by inducing apoptosis.,"['protein misfolding', 'diseases']",ER Stress and UPR
1,Which type of cell membrane is most important in energy production?,Mitochondrial membrane,"['membrane damage', 'mitochondrial membrane']",Membrane Damage
2,Which type of cell membrane is responsible for selectively allowing substances in and out of the cell?,Plasma membrane,"['membrane damage', 'plasma membrane']",Membrane Damage
3,Which type of membrane contains digestive enzymes and breaks down waste materials?,Lysosomal membrane,"['membrane damage', 'lysosomal membrane']",Membrane Damage
1,What are adaptations in the context of cell biology?,"Adaptations are reversible changes in the number, size, phenotype, metabolic activity, or functions of cells in response to changes in their environment.","['adaptations', 'cells', 'environment']",Cellular Adaptations
2,What is hypertrophy in the context of cell biology?,Hypertrophy is a type of cellular adaptation where the size of a cell increases.,"['hypertrophy', 'cell', 'size']",Cellular Adaptations
3,What is hyperplasia in the context of cell biology?,Hyperplasia is a type of cellular adaptation where there is an increase in the number of cells.,"['hyperplasia', 'cells', 'number']",Cellular Adaptations
4,What is atrophy in the context of cell biology?,Atrophy is a type of cellular adaptation where the size or function of a cell decreases.,"['atrophy', 'cell', 'size']",Cellular Adaptations
5,What is metaplasia in the context of cell biology?,Metaplasia is a type of cellular adaptation where there is a change in the phenotype or function of cells.,"['metaplasia', 'cells', 'phenotype']",Cellular Adaptations
1,What are adult stem cells capable of maintaining in terms of tissue turnover?,Adult stem cells can maintain tissues with high or low cell turnover.,"['adult stem cells', 'tissue turnover']",Maintaining Cell Populations
2,What role do adult stem cells play in maintaining tissues with high cell turnover?,Adult stem cells maintain tissues with high cell turnover by continuously dividing and producing new cells.,"['adult stem cells', 'high cell turnover']",Cell cycle landmarks
3,What are adult stem cells capable of maintaining in terms of tissue with low cell turnover?,Adult stem cells maintain tissues with low cell turnover by remaining quiescent and only dividing when necessary.,"['adult stem cells', 'tissue turnover', 'low']",Maintaining Cell Populations
4,What mechanisms regulate the division of adult stem cells?,The mechanisms regulating the division of adult stem cells include external signals and internal genetic programs.,"['adult stem cells', 'division', 'mechanisms']",Mechanisms regulating cell population
1,What is hypertrophy?,An increase in the size of a cell.,"['hypertrophy', 'cell']",Hypertrophy
2,Which type of cells undergo hypertrophy?,Nondividing cells such as heart and skeletal muscle.,"['hypertrophy', 'cells', 'nondividing']",Hypertrophy
3,What are two examples of physiologic hypertrophy?,Uterus during pregnancy and bodybuilders.,"['hypertrophy', 'physiologic', 'uterus', 'pregnancy', 'bodybuilders']",Hypertrophy
4,What is pathologic hypertrophy?,A condition of myocardial hypertrophy or chronic hemodynamic overload resulting from either hypertension or faulty valves.,"['hypertrophy', 'pathologic', 'myocardial', 'hemodynamic', 'overload']",Hypertrophy
1,What is hyperplasia?,An increase in the number of cells in an organ or tissue in response to a stimulus.,"['hyperplasia', 'cells', 'stimulus']",Hyperplasia
2,What are the different types of hyperplasia?,"There are physiologic and pathologic types. Physiologic hyperplasia is hormonal or compensatory, while pathologic hyperplasia results from excessive hormonal or growth factor stimulation.","['hyperplasia', 'types', 'physiologic', 'pathologic']",Types of Hyperplasia
3,Which hormonal conditions can lead to physiologic hyperplasia?,Hyperplasia during breast development at puberty and pregnancy is an example of hormonal hyperplasia.,"['hyperplasia', 'hormonal', 'physiologic']",Physiologic Hyperplasia: Hormonal
4,What is compensatory hyperplasia? Give an example.,"Compensatory hyperplasia is the growth of cells to replace damaged or lost tissue. For instance, the liver grows new cells when a part of it is surgically removed.","['hyperplasia', 'compensatory']",Physiologic Hyperplasia: Compensatory
5,What causes pathologic hyperplasia?,Pathologic hyperplasia is the result of excessive hormonal or growth factor stimulation.,"['hyperplasia', 'pathologic']",Pathologic Hyperplasia
6,How does hyperplasia occur?,Hyperplasia occurs due to growth factor-driven proliferation of mature cells and increased output of new cells from tissue stem cells.,"['hyperplasia', 'mechanisms']",Mechanisms of Hyperplasia
1,What is Atrophy?,Atrophy refers to the shrinkage in the size of a cell due to the loss of cell substance.,"['Atrophy', 'shrinkage', 'cell']",Atrophy
2,What are the types of Atrophy?,There are two main types: physiologic atrophy (aging) and pathologic atrophy.,"['Atrophy', 'types']",Types of Atrophy
3,What is physiologic Atrophy?,It's a natural process of aging that affects various body parts like the breast and uterus.,"['Atrophy', 'aging', 'breast', 'uterus']",Physiologic Atrophy
4,What causes Pathologic Atrophy?,"Common causes include decreased workload (disuse), loss of innervation (denervation), diminished blood supply (ischemia), inadequate nutrition, and loss of endocrine stimulation.","['Atrophy', 'pathologic', 'causes']",Pathologic Atrophy
5,What is Decreased Workload Atrophy?,It occurs when there's a lack of use in a limb or organ.,"['Atrophy', 'decreased workload']",Decreased Workload Atrophy
6,What is Loss of Innervation Atrophy?,It occurs when a nerve no longer sends signals to the muscle or organ.,"['Atrophy', 'loss of innervation']",Loss of Innervation Atrophy
7,What is Diminished Blood Supply Atrophy?,It occurs when the blood flow to a muscle or organ is reduced.,"['Atrophy', 'diminished blood supply']",Diminished Blood Supply Atrophy
8,What is Inadequate Nutrition Atrophy?,It occurs when the body part or organ doesn't receive enough nutrients.,"['Atrophy', 'inadequate nutrition']",Inadequate Nutrition Atrophy
9,What is Loss of Endocrine Stimulation Atrophy?,It occurs when a gland stops producing hormones that stimulate growth.,"['Atrophy', 'loss of endocrine stimulation']",Loss of Endocrine Stimulation Atrophy
10,What is Pressure Atrophy?,It occurs when there's constant pressure on a body part or organ.,"['Atrophy', 'pressure']",Pressure Atrophy
1,What are the mechanisms of Atrophy?,"Atrophy is caused by decreased protein synthesis and increased protein degradation in cells. The Ubiquitin-proteasome pathway plays a role in protein degradation, and there is an increase in autophagy.","['Atrophy', 'Protein synthesis', 'Protein degradation', 'Ubiquitin-proteasome pathway', 'Autophagy']",Atrophy
2,What leads to decreased protein synthesis in Atrophy?,Decreased protein synthesis is a mechanism of Atrophy.,"['Atrophy', 'Protein synthesis']",Atrophy Mechanisms
3,What role does the Ubiquitin-proteasome pathway play in Atrophy?,The Ubiquitin-proteasome pathway plays a role in protein degradation during Atrophy.,"['Atrophy', 'Ubiquitin-proteasome pathway']",Atrophy Mechanisms
4,What is increased in Atrophy?,Protein degradation and autophagy are increased during Atrophy.,"['Atrophy', 'Protein degradation', 'Autophagy']",Atrophy Mechanisms
5,What is Senile Atrophy?,Senile Atrophy is a type of Atrophy.,"['Atrophy', 'Senile Atrophy']",Senile Atrophy
1,What type of change is metaplasia?,Metaplasia is a reversible change in which one differentiated cell type is replaced by another.,"['change', 'reversible', 'cell type']",Reversible change
2,Which two types of cells are involved in metaplasia?,"One differentiated cell type is replaced by another. For example, columnar epithelial cells can be replaced by squamous cells.","['cells', 'replaced', 'epithelial', 'mesenchymal']",Types of cell replacement
3,What is the most common form of metaplasia?,The most common form of metaplasia is squamous metaplasia.,"['metaplasia', 'common', 'squamous']",Common type of metaplasia
4,What can happen if metaplasia persists?,"If metaplasia persists, it may initiate malignant transformation in the metaplastic epithelium.","['metaplasia', 'persist', 'malignant transformation']",Consequences of persistent metaplasia
5,How does metaplasia occur?,Metaplasia occurs through the reprogramming of stem cells that exist in normal tissue or of undifferentiated mesenchymal cells present in connective tissue.,"['metaplasia', 'occur', 'stem cells', 'mesenchymal cells']",Mechanism of metaplasia
6,What is metaplasia?,Metaplasia is a reversible change in which one differentiated cell type is replaced by another.,['metaplasia'],Metaplasia definition
1,What are the intracellular components that can accumulate?,"Lipids (Steatosis, Cholesterol and cholesterol esters), Proteins, Hyaline change, Glycogen, and Pigments (Exogenous and Endogenous)","['Intracellular', 'Accumulation', 'Lipids', 'Proteins', 'Hyaline change', 'Glycogen', 'Pigments', 'Exogenous', 'Endogenous']",Intracellular Accumulation
2,Which intracellular component is a type of fatty change?,Steatosis,"['Intracellular', 'Accumulation', 'Steatosis']",Intracellular Accumulation
3,Which intracellular components are proteins?,Proteins,"['Intracellular', 'Accumulation', 'Proteins']",Intracellular Accumulation
4,What is Hyaline change?,Hyaline change is a type of intracellular accumulation.,"['Intracellular', 'Accumulation', 'Hyaline change']",Intracellular Accumulation
5,Which intracellular component is a type of carbohydrate?,Glycogen,"['Intracellular', 'Accumulation', 'Glycogen']",Intracellular Accumulation
6,What is one manifestation of metabolic derangements in cells?,One of the manifestations of metabolic derangements in cells is intracellular accumulation.,"['Intracellular', 'Accumulation', 'Metabolic derangements']",Intracellular Accumulation
1,Which condition is characterized by the buildup of plaque in the intimal layer of aorta and large arteries?,Atherosclerosis,"['atherosclerosis', 'intimal layer']",Atherosclerosis
2,In which part of the skin is xanthomas found?,Xanthomas are found in the subepithelial connective tissue of the skin.,"['xanthomas', 'skin']",Xanthomas
3,Where is cholesterolosis found?,Cholesterolosis is found in the lamina propria of the gallbladder.,"['cholesterolosis', 'gallbladder']",Cholesterolosis
4,"What is Niemann-Pick disease, type C?","Niemann-Pick disease, type C is a lysosomal storage disease.","['Niemann-Pick disease', 'type C', 'lysosomal storage disease']","Niemann-Pick disease, type C"
5,What are foam cells?,Foam cells are macrophages.,"['foam cells', 'macrophages']",Foam cells
1,What are Russell bodies?,Russell bodies are intracellular inclusions found in plasma cells.,"['Russell bodies', 'plasma cells']",Proteins
2,What happens when there is synthesis of excessive amounts of normal secretory protein?,Russell bodies are formed.,"['protein synthesis', 'excessive amounts']",Proteins
3,What occurs when there is a defective intracellular transport and secretion of critical proteins?,Proteins accumulate in the cell.,"['intracellular transport', 'secretion', 'proteins']",Proteins
4,Which proteins accumulate in alcoholic hyaline?,Cytoskeletal proteins such as keratin.,"['alcoholic hyaline', 'cytoskeletal proteins']",Proteins
5,What are neurofibrillary tangles made of?,They are made up of neurofilaments.,"['neurofibrillary tangles', 'neurofilament']",Proteins
6,What happens when abnormal folded proteins aggregate?,They form amyloidosis.,"['abnormal folded proteins', 'amyloidosis']",Proteins
1,What are pigments?,Pigments are substances that change the color of other materials.,['pigments'],Pigments
2,What are exogenous pigments? Give examples.,Exogenous pigments are obtained from outside sources. Examples include carbon (coal dust) and anthracosis.,"['exogenous pigments', 'carbon', 'anthracosis']",Exogenous Pigments
3,What is another example of an exogenous pigment?,Tattooing involves the use of exogenous pigments.,"['exogenous pigments', 'tattooing']",Exogenous Pigments
4,How are carbon (coal dust) and anthracosis used as pigments?,They are used as exogenous pigments.,"['carbon', 'anthracosis', 'pigments']",Carbon and Anthracosis as Pigments
5,What is the ratio of carbon to anthracosis in exogenous pigments?,The ratio is 6:4.,"['exogenous pigments', 'carbon', 'anthracosis', 'ratio']",Exogenous Pigments Ratio
1,What is Lipofuscin?,Lipofuscin is an endogenous pigment associated with wear-and-tear or aging.,"['Lipofuscin', 'endogenous pigment', 'wear-and-tear']",Endogenous Pigments
2,What is the function of Lipofuscin?,Lipofuscin functions as a pigment in the body.,"['Lipofuscin', 'pigment']",Endogenous Pigments
