flashcard_question,flashcard_answer,flashcard_keyword,flashcard_topic
What are the two possible size changes that can occur during cell death?,The cell can either enlarge (swelling) or reduce (shrinkage),"['Cell Death', 'Size']",Size Changes in Cell Death
What are the three possible nuclear changes that can occur during cell death?,"Pyknosis, karyorrhexis, and karyolysis","['Cell Death', 'Nucleus']",Nuclear Changes in Cell Death
What are the two possible states of the plasma membrane during cell death?,It can be disrupted or intact,"['Cell Death', 'Plasma Membrane']",Plasma Membrane in Cell Death
What happens to the cellular contents during enzymatic digestion?,They undergo enzymatic digestion,"['Cell Death', 'Cellular Contents']",Cellular Contents in Cell Death
Is inflammation a frequent occurrence during cell death?,Yes,"['Cell Death', 'Inflammation']",Inflammation in Cell Death
What are the two possible roles of cell death?,It can be pathologic or physiologic,"['Cell Death', 'Role']",Role of Cell Death
Is inflammation a frequent occurrence during cell death?,No,"['Cell Death', 'Inflammation']",Frequency of Inflammation in Cell Death
How many types of cell death are there?,There are two main types: Necrosis and Apoptosis,['Cell Death'],Number of Types of Cell Death
What happens to cells during severe injury?,"The cells undergo denaturation of proteins, leakage of cellular contents, local inflammation, and enzymatic digestion.","['severe injury', 'cells']",Consequence of Severe Injury
What are the characteristics of a necrotic cell?,"A necrotic cell is characterized by increased eosinophilia, karyolysis, pyknosis, and karyorrhexis.","['necrotic cell', 'characteristics']",Necrotic Cell
What are the possible fates of a necrotic cell?,A necrotic cell may persist for some time or be digested.,"['necrotic cell', 'fates']",Fates of Necrotic Cells
What are the morphologically distinct patterns of tissue necrosis?,The patterns of tissue necrosis are based on underlying causes.,"['tissue necrosis', 'patterns']",Patterns of Tissue Necrosis
What is necrosis?,Necrosis is a type of tissue death.,['necrosis'],Necrosis
What is the most common type of necrosis?,Coagulative Necrosis,"['necrosis', 'coagulative']",Coagulative Necrosis
What pattern occurs during coagulative necrosis?,Denaturation is the primary pattern.,"['necrosis', 'coagulative', 'denaturation']",Coagulative Necrosis
How long does the preservation of basic structural outline last in coagulative necrosis?,For days or weeks.,"['necrosis', 'coagulative', 'preservation']",Coagulative Necrosis
What causes ischemia and coagulative necrosis in all organ except the brain?,Obstruction in a vessel.,"['necrosis', 'coagulative', 'ischemia']",Coagulative Necrosis
What is a localized area of coagulative necrosis called?,An infarct.,"['necrosis', 'coagulative', 'infarct']",Coagulative Necrosis
What is a kidney infarct?,A localized area of coagulative necrosis in the kidney.,"['kidney', 'infarct']",Kidney Infarct
What is the dominant process in Liquefactive Necrosis?,Digestion by enzymes,"['Liquefactive Necrosis', 'Digestion']",Liquefactive Necrosis
What are the characteristic infections of Liquefactive Necrosis?,Focal bacterial or fungal infections,"['Liquefactive Necrosis', 'Infections']",Liquefactive Necrosis
What happens during Hypoxic death in the brain?,Brain infarct occurs,"['Liquefactive Necrosis', 'Hypoxic death', 'Brain infarct']",Liquefactive Necrosis
What is the dominant process in Digestion during Liquefactive Necrosis?,Enzyme digestion,"['Digestion', 'Enzymes']",Digestion in Liquefactive Necrosis
What types of infections are characteristic of Liquefactive Necrosis?,Focal bacterial or fungal infections,"['Infections', 'Bacterial', 'Fungal']",Infections in Liquefactive Necrosis
What happens during Hypoxic death in the brain that leads to a Brain Infarct?,Hypoxic death causes Brain infarct,"['Hypoxic death', 'Brain infarct']",Hypoxic death and Brain Infarct
What is Gangrenous Necrosis?,A type of tissue death (necrosis) that can result from a lack of blood supply or bacterial infection.,"['Gangrenous Necrosis', 'tissue death']",Gangrenous Necrosis
What are the two types of Gangrenous Necrosis?,Ischemic coagulative necrosis and Wet gangrene.,"['Gangrenous Necrosis', 'types']",Types of Gangrenous Necrosis
What is Ischemic Coagulative Necrosis?,A type of gangrenous necrosis that results from a lack of blood supply.,['Ischemic Coagulative Necrosis'],Ischemic Coagulative Necrosis
What is Wet Gangrene?,A type of gangrenous necrosis that results from a bacterial infection.,['Wet Gangrene'],Wet Gangrene
Where is Gangrenous Necrosis commonly found?,It is frequently of a limb and especially common in diabetes.,"['Gangrenous Necrosis', 'common locations']",Common Locations
What is caseous necrosis?,A special form of coagulative necrosis with limited liquefaction.,"['coagulative necrosis', 'limited liquefaction']",Caseous Necrosis
Where is caseous necrosis most often encountered?,Most often in foci of tuberculous infection.,['tuberculous infection'],Caseous Necrosis
What is the appearance of caseous necrosis?,"Cheesy, white and gross with a structureless amorphous granular debris.","['cheesy', 'white', 'gross appearance']",Caseous Necrosis
What is a granuloma?,An inflammatory border enclosed within a distinctive structure.,['inflammatory border'],Granuloma
What happens to the tissue architecture in tuberculosis of lung?,It is completely obliterated.,['tissue architecture'],Tuberculosis of Lung
What causes fat necrosis?,It is typically caused by the release of activated pancreatic lipases due to acute pancreatitis.,"['Fat Necrosis', 'Acute Pancreatitis', 'Pancreatic Lipases']",Fat Necrosis
What are the focal areas of fat destruction in Fat Necrosis?,The input text does not provide specific information about the focal areas of fat destruction in Fat Necrosis.,['Fat Necrosis'],Fat Necrosis
What happens to fat when it is degraded in Fat Necrosis?,It degrades into glycerol and free fatty acids.,"['Fat Necrosis', 'Glycerol', 'Free Fatty Acids']",Fat Necrosis
What happens to free fatty acids in Fat Necrosis?,"They bind to calcium, a process known as fat saponification.","['Fat Necrosis', 'Free Fatty Acids', 'Calcium']",Fat Necrosis
What is Fibrinoid Necrosis?,Fibrinoid Necrosis is a condition usually seen in immune reactions involving blood vessels.,"['Fibrinoid Necrosis', 'immune reactions', 'blood vessels']",Fibrinoid Necrosis
What type of condition is Fibrinoid Necrosis?,Fibrinoid Necrosis is a condition.,['condition'],Condition
In what context is Fibrinoid Necrosis typically seen?,Fibrinoid Necrosis is typically seen in immune reactions.,['immune reactions'],Immune Reactions
Which part of the body are Fibrinoid Necrosis reactions most commonly associated with?,Fibrinoid Necrosis reactions are most commonly associated with blood vessels.,['blood vessels'],Blood Vessels
What term is used to describe the tissue death involved in Fibrinoid Necrosis?,Necrosis is the term used to describe the tissue death involved in Fibrinoid Necrosis.,['necrosis'],Necrosis
What type of reactions are associated with Fibrinoid Necrosis?,Fibrinoid Necrosis is associated with immune reactions.,['reactions'],Reactions
What is the process by which cells activate enzymes that degrade their own nuclear DNA and proteins called?,Apoptosis,"['Apoptosis', 'cell death', 'nuclear DNA', 'enzymes']",Apoptosis
Which part of the cell contains the nuclear DNA that is degraded during apoptosis?,Nucleus,"['Apoptosis', 'nuclear DNA', 'nucleus']",Apoptosis
What type of proteins are degraded during apoptosis in the cytoplasm?,Cytoplasmic proteins,"['Apoptosis', 'cytoplasmic proteins']",Apoptosis
What triggers apoptosis during embryogenesis?,Loss of growth factor signaling,"apoptosis, embryogenesis, growth factor signaling",Mechanisms of Apoptosis
What leads to the involution of hormone-dependent tissues?,Decreased hormone levels,"apoptosis, hormone-dependent tissues, hormone levels",Mechanisms of Apoptosis
What happens to leukocyte numbers during apoptosis?,A decline occurs at the end of immune and inflammatory responses,"apoptosis, leukocytes, immune responses",Mechanisms of Apoptosis
What causes apoptosis in response to DNA damage?,Activation of proapoptotic proteins by BH3-only sensors,"apoptosis, DNA damage, proapoptotic proteins",Mechanisms of Apoptosis
What triggers apoptosis in response to viral infections?,Activation of the mitochondrial pathway by viral proteins,"apoptosis, viral infections, mitochondrial pathway",Mechanisms of Apoptosis
What role do cytotoxic T lymphocytes play in apoptosis?,They kill infected cells and activate caspases,"apoptosis, cytotoxic T lymphocytes, caspases",Mechanisms of Apoptosis
What are the three main causes of apoptosis?,"1. Loss of growth factor signaling, 2. DNA damage, and 3. Viral infections","apoptosis, causes",Causes of Apoptosis
What are the three main morphological changes that occur during apoptosis at the HE level?,"Cell shrinkage, chromatin condensation, and karyorrhexis.",,Morphology of Apoptosis (HE level)
What happens to the DNA during apoptosis at the molecular level?,The DNA fragments.,,Morphology of Apoptosis (Molecular level)
What are cytoplasmic buds called during apoptosis?,They are called apoptotic bodies.,,Morphology of Apoptosis (Molecular level)
What happens to the apoptotic bodies during apoptosis?,They are phagocytosed.,,Morphology of Apoptosis (Molecular level)
Which process occurs during apoptosis where the chromatin condenses?,Chromatin condensation.,,Morphology of Apoptosis (HE level)
What is the final stage of apoptosis at the HE level?,Karyorrhexis.,,Morphology of Apoptosis (HE level)
What are the morphological similarities between necrosis and necroptosis?,Necroptosis resembles necrosis morphologically.,"necrosis, necroptosis",Necroptosis
How is necroptosis mechanistically similar to apoptosis?,Necroptosis resembles apoptosis mechanistically.,"necrosis, apoptosis, necroptosis",Necroptosis
What triggers necroptosis?,Necroptosis is triggered by ligation of TNFR1 and viral proteins of RNA and DNA viruses.,"necrosis, TNFR1, viruses",Necroptosis
How is necroptosis dependent on signaling by the RIPK1 and RIPK3 complex?,Necroptosis is caspase-independent but dependent on signaling by the RIPK1 and RIPK3 complex.,"necrosis, RIPK1, RIPK3",Necroptosis
In what conditions does necroptosis occur?,Necroptosis occurs in both physiologic and pathologic conditions.,"necrosis, physiologic, pathologic",Necroptosis
What is Ferroptosis?,Ferroptosis is a type of programmed cell death.,Ferroptosis,Ferroptosis
What are the three main mechanisms of cell death?,"Necroptosis, Ferroptosis, and Pyroptosis are the three main mechanisms of cell death.","cell death, necroptosis, ferroptosis, pyroptosis",Cell Death Mechanisms
What is Autophagy?,Autophagy is a survival mechanism where the cell's own components are digested by lysosomes.,"['Autophagy', 'survival mechanism', ""cell's components"", 'lysosomes']",Autophagy
What triggers Autophagy?,Autophagy is initiated by proteins that sense nutrient deprivation.,"['Autophagy', 'nutrient deprivation', 'proteins']",Autophagy
What happens during Autophagy?,"A phagophore forms around the cell component to be digested, which then fuses with lysosomes to form an autophagolysosome.","['Autophagy', 'phagophore', 'autophagosome', 'lysosomes']",Autophagy
What are some diseases associated with Autophagy?,"Autophagy may play a role in cancer, neurodegenerative disorders, infectious disease, and inflammatory bowel disease.","['Autophagy', 'cancer', 'neurodegenerative disorders', 'diseases']",Autophagy
What factors influence the consequences of an injurious stimulus on a cell?,"The type of injury, its duration and severity, the type of cell, its metabolic state, adaptability, and genetic makeup all play a role.","['injury', 'consequences', 'cell', 'type', 'metabolic']",Cell Injury and Cell Death
What leads to cell injury?,Functional and biochemical abnormalities in one or more essential cellular components result from an injurious stimulus.,"['cell injury', 'abnormalities', 'essential']",Cell Injury
What causes cellular response to injurious stimuli?,The type and severity of the injury determine the cellular response.,"['cell injury', 'stimuli', 'response']",Cell Injury
What happens when blood flow is restored to ischemic but viable tissues?,The restoration of blood flow can result in increased cell injury.,"['ischemia', 'viable tissues', 'injury']",Ischemia-Reperfusion Injury
Why can the restoration of blood flow to ischemic tissues lead to new damage?,New damage may be initiated during reoxygenation by increased generation of ROS.,"['ischemia', 'reperfusion', 'new damage', 'ROS']",Ischemia-Reperfusion Injury
What is one mechanism of inflammation induced by ischemic injury?,The influx of leukocytes and plasma proteins.,"['ischemia', 'inflammation', 'leukocytes', 'plasma proteins']",Ischemia-Reperfusion Injury
What is another mechanism of inflammation induced by ischemic injury?,Activation of the complement system.,"['ischemia', 'inflammation', 'complement system']",Ischemia-Reperfusion Injury
Why can the inflammation induced by ischemic injury increase damage?,The influx of leukocytes and plasma proteins can cause further damage.,"['ischemia', 'inflammation', 'damage']",Ischemia-Reperfusion Injury
What is the result of cellular damage induced by the accumulation of ROS?,Cellular damage occurs when Reactive Oxygen Species (ROS) accumulate.,"['cellular damage', 'accumulation', 'ROS']",Cellular damage caused by ROS
What are the properties of free radicals?,Free radicals are extremely unstable and readily react with inorganic and organic compounds.,"['free radicals', 'unstable', 'react']",Properties of Free Radicals
What are Reactive Oxygen Species (ROS)?,Reactive oxygen species (ROS) are oxygen-derived free radicals.,"['ROS', 'oxygen-derived', 'free radical']",Definition of Reactive Oxygen Species (ROS)
"What is the generation, removal, and role of ROS in cell injury?","Reactive oxygen species (ROS) are generated during normal metabolic processes but can also be produced as a result of environmental stressors. They can cause damage to cells through oxidation reactions. Antioxidants help remove ROS from the body, preventing cell injury.","['generation', 'removal', 'role', 'ROS', 'cell injury']","Generation, Removal, and Role of ROS in Cell Injury"
What are the two general mechanisms of cell injury caused by toxins?,The two general mechanisms of cell injury caused by toxins are direct-acting and latent.,"['cell injury', 'toxins']",Cell Injury Caused by Toxins
What are direct-acting toxins?,Direct-acting toxins include anti-neoplastic chemotherapeutic agents and toxins made by microorganisms.,['direct-acting toxins'],Cell Injury Caused by Toxins
What are latent toxins?,Latent toxins include substances like Carbon tetrachloride (CCl 4 ) and acetaminophen.,['latent toxins'],Cell Injury Caused by Toxins
What are some examples of direct-acting toxins?,Some examples of direct-acting toxins include anti-neoplastic chemotherapeutic agents and toxins made by microorganisms.,"['direct-acting toxins', 'examples']",Cell Injury Caused by Toxins
What are some examples of latent toxins?,Some examples of latent toxins include Carbon tetrachloride (CCl 4 ) and acetaminophen.,"['latent toxins', 'examples']",Cell Injury Caused by Toxins
What can lead to cell death by apoptosis in a cell?,The accumulation of misfolded proteins in the ER can stress compensatory pathways and lead to cell death by apoptosis.,"['ER', 'apoptosis', 'cell death']",ER Stress and UPR
What causes ER stress?,ER stress is caused by abnormalities that increase the production of misfolded proteins or reduce the ability to eliminate them.,"['ER', 'misfolded proteins']",ER Stress and UPR
What can protein misfolding within cells lead to?,Protein misfolding within cells may cause diseases by creating a deficiency of an essential protein or by inducing apoptosis.,"['protein misfolding', 'diseases']",ER Stress and UPR
Which type of cell membrane is most important in energy production?,Mitochondrial membrane,"['membrane damage', 'mitochondrial membrane']",Membrane Damage
Which type of cell membrane is responsible for selectively allowing substances in and out of the cell?,Plasma membrane,"['membrane damage', 'plasma membrane']",Membrane Damage
Which type of membrane contains digestive enzymes and breaks down waste materials?,Lysosomal membrane,"['membrane damage', 'lysosomal membrane']",Membrane Damage
What are adaptations in the context of cell biology?,"Adaptations are reversible changes in the number, size, phenotype, metabolic activity, or functions of cells in response to changes in their environment.","['adaptations', 'cells', 'environment']",Cellular Adaptations
What is hypertrophy in the context of cell biology?,Hypertrophy is a type of cellular adaptation where the size of a cell increases.,"['hypertrophy', 'cell', 'size']",Cellular Adaptations
What is hyperplasia in the context of cell biology?,Hyperplasia is a type of cellular adaptation where there is an increase in the number of cells.,"['hyperplasia', 'cells', 'number']",Cellular Adaptations
What is atrophy in the context of cell biology?,Atrophy is a type of cellular adaptation where the size or function of a cell decreases.,"['atrophy', 'cell', 'size']",Cellular Adaptations
What is metaplasia in the context of cell biology?,Metaplasia is a type of cellular adaptation where there is a change in the phenotype or function of cells.,"['metaplasia', 'cells', 'phenotype']",Cellular Adaptations
What are adult stem cells capable of maintaining in terms of tissue turnover?,Adult stem cells can maintain tissues with high or low cell turnover.,"['adult stem cells', 'tissue turnover']",Maintaining Cell Populations
What role do adult stem cells play in maintaining tissues with high cell turnover?,Adult stem cells maintain tissues with high cell turnover by continuously dividing and producing new cells.,"['adult stem cells', 'high cell turnover']",Cell cycle landmarks
What are adult stem cells capable of maintaining in terms of tissue with low cell turnover?,Adult stem cells maintain tissues with low cell turnover by remaining quiescent and only dividing when necessary.,"['adult stem cells', 'tissue turnover', 'low']",Maintaining Cell Populations
What mechanisms regulate the division of adult stem cells?,The mechanisms regulating the division of adult stem cells include external signals and internal genetic programs.,"['adult stem cells', 'division', 'mechanisms']",Mechanisms regulating cell population
What is hypertrophy?,An increase in the size of a cell.,"['hypertrophy', 'cell']",Hypertrophy
Which type of cells undergo hypertrophy?,Nondividing cells such as heart and skeletal muscle.,"['hypertrophy', 'cells', 'nondividing']",Hypertrophy
What are two examples of physiologic hypertrophy?,Uterus during pregnancy and bodybuilders.,"['hypertrophy', 'physiologic', 'uterus', 'pregnancy', 'bodybuilders']",Hypertrophy
What is pathologic hypertrophy?,A condition of myocardial hypertrophy or chronic hemodynamic overload resulting from either hypertension or faulty valves.,"['hypertrophy', 'pathologic', 'myocardial', 'hemodynamic', 'overload']",Hypertrophy
What is hyperplasia?,An increase in the number of cells in an organ or tissue in response to a stimulus.,"['hyperplasia', 'cells', 'stimulus']",Hyperplasia
What are the different types of hyperplasia?,"There are physiologic and pathologic types. Physiologic hyperplasia is hormonal or compensatory, while pathologic hyperplasia results from excessive hormonal or growth factor stimulation.","['hyperplasia', 'types', 'physiologic', 'pathologic']",Types of Hyperplasia
Which hormonal conditions can lead to physiologic hyperplasia?,Hyperplasia during breast development at puberty and pregnancy is an example of hormonal hyperplasia.,"['hyperplasia', 'hormonal', 'physiologic']",Physiologic Hyperplasia: Hormonal
What is compensatory hyperplasia? Give an example.,"Compensatory hyperplasia is the growth of cells to replace damaged or lost tissue. For instance, the liver grows new cells when a part of it is surgically removed.","['hyperplasia', 'compensatory']",Physiologic Hyperplasia: Compensatory
What causes pathologic hyperplasia?,Pathologic hyperplasia is the result of excessive hormonal or growth factor stimulation.,"['hyperplasia', 'pathologic']",Pathologic Hyperplasia
How does hyperplasia occur?,Hyperplasia occurs due to growth factor-driven proliferation of mature cells and increased output of new cells from tissue stem cells.,"['hyperplasia', 'mechanisms']",Mechanisms of Hyperplasia
What is Atrophy?,Atrophy refers to the shrinkage in the size of a cell due to the loss of cell substance.,"['Atrophy', 'shrinkage', 'cell']",Atrophy
What are the types of Atrophy?,There are two main types: physiologic atrophy (aging) and pathologic atrophy.,"['Atrophy', 'types']",Types of Atrophy
What is physiologic Atrophy?,It's a natural process of aging that affects various body parts like the breast and uterus.,"['Atrophy', 'aging', 'breast', 'uterus']",Physiologic Atrophy
What causes Pathologic Atrophy?,"Common causes include decreased workload (disuse), loss of innervation (denervation), diminished blood supply (ischemia), inadequate nutrition, and loss of endocrine stimulation.","['Atrophy', 'pathologic', 'causes']",Pathologic Atrophy
What is Decreased Workload Atrophy?,It occurs when there's a lack of use in a limb or organ.,"['Atrophy', 'decreased workload']",Decreased Workload Atrophy
What is Loss of Innervation Atrophy?,It occurs when a nerve no longer sends signals to the muscle or organ.,"['Atrophy', 'loss of innervation']",Loss of Innervation Atrophy
What is Diminished Blood Supply Atrophy?,It occurs when the blood flow to a muscle or organ is reduced.,"['Atrophy', 'diminished blood supply']",Diminished Blood Supply Atrophy
What is Inadequate Nutrition Atrophy?,It occurs when the body part or organ doesn't receive enough nutrients.,"['Atrophy', 'inadequate nutrition']",Inadequate Nutrition Atrophy
What is Loss of Endocrine Stimulation Atrophy?,It occurs when a gland stops producing hormones that stimulate growth.,"['Atrophy', 'loss of endocrine stimulation']",Loss of Endocrine Stimulation Atrophy
What is Pressure Atrophy?,It occurs when there's constant pressure on a body part or organ.,"['Atrophy', 'pressure']",Pressure Atrophy
What are the mechanisms of Atrophy?,"Atrophy is caused by decreased protein synthesis and increased protein degradation in cells. The Ubiquitin-proteasome pathway plays a role in protein degradation, and there is an increase in autophagy.","['Atrophy', 'Protein synthesis', 'Protein degradation', 'Ubiquitin-proteasome pathway', 'Autophagy']",Atrophy
What leads to decreased protein synthesis in Atrophy?,Decreased protein synthesis is a mechanism of Atrophy.,"['Atrophy', 'Protein synthesis']",Atrophy Mechanisms
What role does the Ubiquitin-proteasome pathway play in Atrophy?,The Ubiquitin-proteasome pathway plays a role in protein degradation during Atrophy.,"['Atrophy', 'Ubiquitin-proteasome pathway']",Atrophy Mechanisms
What is increased in Atrophy?,Protein degradation and autophagy are increased during Atrophy.,"['Atrophy', 'Protein degradation', 'Autophagy']",Atrophy Mechanisms
What is Senile Atrophy?,Senile Atrophy is a type of Atrophy.,"['Atrophy', 'Senile Atrophy']",Senile Atrophy
What type of change is metaplasia?,Metaplasia is a reversible change in which one differentiated cell type is replaced by another.,"['change', 'reversible', 'cell type']",Reversible change
Which two types of cells are involved in metaplasia?,"One differentiated cell type is replaced by another. For example, columnar epithelial cells can be replaced by squamous cells.","['cells', 'replaced', 'epithelial', 'mesenchymal']",Types of cell replacement
What is the most common form of metaplasia?,The most common form of metaplasia is squamous metaplasia.,"['metaplasia', 'common', 'squamous']",Common type of metaplasia
What can happen if metaplasia persists?,"If metaplasia persists, it may initiate malignant transformation in the metaplastic epithelium.","['metaplasia', 'persist', 'malignant transformation']",Consequences of persistent metaplasia
How does metaplasia occur?,Metaplasia occurs through the reprogramming of stem cells that exist in normal tissue or of undifferentiated mesenchymal cells present in connective tissue.,"['metaplasia', 'occur', 'stem cells', 'mesenchymal cells']",Mechanism of metaplasia
What is metaplasia?,Metaplasia is a reversible change in which one differentiated cell type is replaced by another.,['metaplasia'],Metaplasia definition
What are the intracellular components that can accumulate?,"Lipids (Steatosis, Cholesterol and cholesterol esters), Proteins, Hyaline change, Glycogen, and Pigments (Exogenous and Endogenous)","['Intracellular', 'Accumulation', 'Lipids', 'Proteins', 'Hyaline change', 'Glycogen', 'Pigments', 'Exogenous', 'Endogenous']",Intracellular Accumulation
Which intracellular component is a type of fatty change?,Steatosis,"['Intracellular', 'Accumulation', 'Steatosis']",Intracellular Accumulation
Which intracellular components are proteins?,Proteins,"['Intracellular', 'Accumulation', 'Proteins']",Intracellular Accumulation
What is Hyaline change?,Hyaline change is a type of intracellular accumulation.,"['Intracellular', 'Accumulation', 'Hyaline change']",Intracellular Accumulation
Which intracellular component is a type of carbohydrate?,Glycogen,"['Intracellular', 'Accumulation', 'Glycogen']",Intracellular Accumulation
What is one manifestation of metabolic derangements in cells?,One of the manifestations of metabolic derangements in cells is intracellular accumulation.,"['Intracellular', 'Accumulation', 'Metabolic derangements']",Intracellular Accumulation
Which condition is characterized by the buildup of plaque in the intimal layer of aorta and large arteries?,Atherosclerosis,"['atherosclerosis', 'intimal layer']",Atherosclerosis
In which part of the skin is xanthomas found?,Xanthomas are found in the subepithelial connective tissue of the skin.,"['xanthomas', 'skin']",Xanthomas
Where is cholesterolosis found?,Cholesterolosis is found in the lamina propria of the gallbladder.,"['cholesterolosis', 'gallbladder']",Cholesterolosis
"What is Niemann-Pick disease, type C?","Niemann-Pick disease, type C is a lysosomal storage disease.","['Niemann-Pick disease', 'type C', 'lysosomal storage disease']","Niemann-Pick disease, type C"
What are foam cells?,Foam cells are macrophages.,"['foam cells', 'macrophages']",Foam cells
What are Russell bodies?,Russell bodies are intracellular inclusions found in plasma cells.,"['Russell bodies', 'plasma cells']",Proteins
What happens when there is synthesis of excessive amounts of normal secretory protein?,Russell bodies are formed.,"['protein synthesis', 'excessive amounts']",Proteins
What occurs when there is a defective intracellular transport and secretion of critical proteins?,Proteins accumulate in the cell.,"['intracellular transport', 'secretion', 'proteins']",Proteins
Which proteins accumulate in alcoholic hyaline?,Cytoskeletal proteins such as keratin.,"['alcoholic hyaline', 'cytoskeletal proteins']",Proteins
What are neurofibrillary tangles made of?,They are made up of neurofilaments.,"['neurofibrillary tangles', 'neurofilament']",Proteins
What happens when abnormal folded proteins aggregate?,They form amyloidosis.,"['abnormal folded proteins', 'amyloidosis']",Proteins
What are pigments?,Pigments are substances that change the color of other materials.,['pigments'],Pigments
What are exogenous pigments? Give examples.,Exogenous pigments are obtained from outside sources. Examples include carbon (coal dust) and anthracosis.,"['exogenous pigments', 'carbon', 'anthracosis']",Exogenous Pigments
What is another example of an exogenous pigment?,Tattooing involves the use of exogenous pigments.,"['exogenous pigments', 'tattooing']",Exogenous Pigments
How are carbon (coal dust) and anthracosis used as pigments?,They are used as exogenous pigments.,"['carbon', 'anthracosis', 'pigments']",Carbon and Anthracosis as Pigments
What is the ratio of carbon to anthracosis in exogenous pigments?,The ratio is 6:4.,"['exogenous pigments', 'carbon', 'anthracosis', 'ratio']",Exogenous Pigments Ratio
What is Lipofuscin?,Lipofuscin is an endogenous pigment associated with wear-and-tear or aging.,"['Lipofuscin', 'endogenous pigment', 'wear-and-tear']",Endogenous Pigments
What is the function of Lipofuscin?,Lipofuscin functions as a pigment in the body.,"['Lipofuscin', 'pigment']",Endogenous Pigments
What is Hemosiderin?,Hemosiderin is an endogenous pigment related to hemosiderosis.,"['Hemosiderin', 'endogenous pigment', 'hemosiderosis']",Endogenous Pigments
What is the role of Melanin?,Melanin is an endogenous pigment responsible for brown atrophy.,"['Melanin', 'endogenous pigment', 'atrophy']",Endogenous Pigments
What is dystrophic calcification?,Dystrophic calcification is a type of abnormal tissue deposition of calcium salts.,"['dystrophic calcification', 'abnormal tissue deposition', 'calcium salts']",Pathologic Calcification
What causes dystrophic calcification?,Dystrophic calcification occurs in areas of necrosis.,"['dystrophic calcification', 'necrosis']",Pathologic Calcification
